timestamp,pose_position_x,pose_position_y,pose_position_z,pose_orientation_x,pose_orientation_y,pose_orientation_z,velocity_linear_x,velocity_linear_y,velocity_linear_z,velocity_angular_x,velocity_angular_y,velocity_angular_z,control_lamp_left,control_lamp_right,control_gear,control_mode,control_ctrl_cmd_linear_velocity,control_ctrl_cmd_linear_acceleration,control_ctrl_cmd_steering_angle,control_emergency
18:09:28.214,-0.5318153184894434,-83.88542345218492,34.821392009374115,0.00030422028321796407,0.00039962936805538313,-0.6478645058619892,7.924403884425844,0.07285046775089103,-0.012816085379740024,-0.006020216084259728,-0.0008904253747433226,0.05073286506492721,0,0,4,0,9.166666984558105,1.0,0.020354246720671654,0
18:09:28.214,-0.5318153184894434,-83.88542345218492,34.821392009374115,0.00030422028321796407,0.00039962936805538313,-0.6478645058619892,7.924403884425844,0.07285046775089103,-0.012816085379740024,-0.006020216084259728,-0.0008904253747433226,0.05073286506492721,0,0,4,0,9.166666984558105,1.0,0.020354246720671654,0
18:09:29.369,-0.4683511140048813,-84.27843741092471,34.82139908417552,0.000404428766748759,0.000517095383728317,-0.646896548421384,7.986501161928934,0.07281682584405112,-0.013449449545922977,-0.006145722752116216,-0.0009147072141159054,0.05081932209300311,0,0,4,0,9.166666984558105,1.0,0.020020680502057076,0
18:09:30.586,-0.4033648948954952,-84.67454609776514,34.8214239701103,0.0005794586592577596,0.0007087516351390169,-0.6459290546628902,8.052742482443275,0.07212429196612402,-0.025629102413780632,-0.012422304501701599,-0.0017278841424529544,0.05070112351368483,0,0,4,0,9.166666984558105,1.0,0.01961706206202507,0
18:09:31.783,-0.3368418718424909,-85.07374043747417,34.82139862112806,0.0008147682124809833,0.000981925842976013,-0.6449648242973074,8.116043246194,0.07122769139311057,-0.03394460472443121,-0.014538699894636154,-0.002170666922894953,0.05042415892150579,0,0,4,0,9.166666984558105,1.0,0.019161604344844818,0
18:09:33.017,-0.26883456881112733,-85.47567449395463,34.82100838380927,0.0010417713659852852,0.001250342308760899,-0.6440071838819327,8.170731900890942,0.07001602352804398,-0.040669951657987966,-0.013467060516745082,-0.002304345126049321,0.049929759709889394,0,0,4,0,9.166666984558105,1.0,0.018671732395887375,0
18:09:34.232,-0.1994256079016921,-85.879757680732,34.820355592922915,0.0012516010987638267,0.0015050101527636101,-0.6430607669094527,8.213263741654968,0.0686004483930362,-0.04456176934768516,-0.01277725290044142,-0.0021820662406429278,0.049214438802283315,0,0,4,0,9.166666984558105,1.0,0.01816224306821823,0
18:09:35.402,-0.12872617494269595,-86.2853726181309,34.81955408504123,0.0014549710030210404,0.0017473555437690978,-0.6421293511555417,8.243067422088417,0.06692752922076217,-0.04678437452241002,-0.012302605813675545,-0.0020374279852758527,0.04831436525524219,0,0,4,0,9.166666984558105,1.0,0.01764201931655407,0
18:09:36.621,-0.05684710773885954,-86.6920041778236,34.81869296156927,0.0017004443920088346,0.002024974649226196,-0.6412158104423215,8.262462772400024,0.0649260386054073,-0.056593213934549705,-0.016570757345096564,-0.0025837034423175274,0.047240865825777266,0,0,4,0,9.166666984558105,1.0,0.017113586887717247,0
18:09:37.792,0.016141826733317988,-87.09919492840343,34.81777286552993,0.001999095241900617,0.0023772583122992166,-0.6403238472213033,8.273772373592113,0.06299902660729495,-0.0650595431353191,-0.01811269744763072,-0.002701369909566444,0.04605092800002703,0,0,4,0,9.166666984558105,1.0,0.01657804846763611,0
